ds,popularity,genre,type
1957-01-01,80.0,pop,Actual
1964-01-01,83.0,pop,Actual
1975-01-01,78.0,pop,Actual
1976-01-01,71.0,pop,Actual
1977-01-01,73.5,pop,Actual
1979-01-01,73.0,pop,Actual
1981-01-01,74.5,pop,Actual
1983-01-01,79.33333333333333,pop,Actual
1985-01-01,77.0,pop,Actual
1986-01-01,78.0,pop,Actual
1987-01-01,81.0,pop,Actual
1990-01-01,71.0,pop,Actual
1993-01-01,74.0,pop,Actual
1994-01-01,79.0,pop,Actual
1996-01-01,75.0,pop,Actual
1997-01-01,73.75,pop,Actual
1998-01-01,72.0,pop,Actual
1999-01-01,78.0,pop,Actual
2000-01-01,79.6,pop,Actual
2001-01-01,77.33333333333333,pop,Actual
2002-01-01,78.4,pop,Actual
2003-01-01,80.0,pop,Actual
2004-01-01,78.5,pop,Actual
2005-01-01,78.5,pop,Actual
2006-01-01,75.0,pop,Actual
2007-01-01,77.5,pop,Actual
2008-01-01,75.5,pop,Actual
2009-01-01,75.5,pop,Actual
2010-01-01,80.0,pop,Actual
2011-01-01,68.55555555555556,pop,Actual
2012-01-01,76.25,pop,Actual
2013-01-01,80.27272727272727,pop,Actual
2014-01-01,80.61538461538461,pop,Actual
2015-01-01,72.3,pop,Actual
2016-01-01,51.55555555555556,pop,Actual
2017-01-01,56.166666666666664,pop,Actual
2018-01-01,63.0,pop,Actual
2019-01-01,53.45454545454545,pop,Actual
2020-01-01,72.77777777777777,pop,Actual
2021-01-01,34.63636363636363,pop,Actual
2022-01-01,37.56,pop,Actual
2023-01-01,58.24,pop,Actual
2024-01-01,72.85714285714286,pop,Actual
1957-01-01,84.91909423084573,pop,Predicted
1964-01-01,86.40588959408257,pop,Predicted
1975-01-01,81.60037824608045,pop,Predicted
1976-01-01,82.35525643734795,pop,Predicted
1977-01-01,78.16803896953054,pop,Predicted
1979-01-01,80.2501671912895,pop,Predicted
1981-01-01,76.81782791249144,pop,Predicted
1983-01-01,78.89995613472662,pop,Predicted
1985-01-01,75.46761685861883,pop,Predicted
1986-01-01,76.60356860500445,pop,Predicted
1987-01-01,77.54974507872355,pop,Predicted
1990-01-01,75.25335754353648,pop,Predicted
1993-01-01,72.76719472965156,pop,Predicted
1994-01-01,73.90314647434863,pop,Predicted
1996-01-01,75.60420113217958,pop,Predicted
1997-01-01,71.41698365953152,pop,Predicted
1998-01-01,72.55293540268751,pop,Predicted
1999-01-01,73.49911187400741,pop,Predicted
2000-01-01,74.25399006002706,pop,Predicted
2001-01-01,70.06677244012772,pop,Predicted
2002-01-01,71.20272403691833,pop,Predicted
2003-01-01,72.14886636637084,pop,Predicted
2004-01-01,72.90366363151838,pop,Predicted
2005-01-01,68.71633840391998,pop,Predicted
2006-01-01,69.85218268699708,pop,Predicted
2007-01-01,70.79825106631309,pop,Predicted
2008-01-01,71.55297681696638,pop,Predicted
2009-01-01,67.36560648829769,pop,Predicted
2010-01-01,68.50140579355924,pop,Predicted
2011-01-01,69.44735126337764,pop,Predicted
2012-01-01,70.20199844762502,pop,Predicted
2013-01-01,66.01449904213152,pop,Predicted
2014-01-01,67.1501696232259,pop,Predicted
2015-01-01,68.09606492931663,pop,Predicted
2016-01-01,68.85066194816861,pop,Predicted
2017-01-01,64.6631625375037,pop,Predicted
2018-01-01,65.79883311345122,pop,Predicted
2019-01-01,66.7447284170602,pop,Predicted
2020-01-01,67.49932543590695,pop,Predicted
2021-01-01,63.31182602524444,pop,Predicted
2022-01-01,64.44749660120024,pop,Predicted
2023-01-01,65.39339190480356,pop,Predicted
2024-01-01,66.14798892363538,pop,Predicted
2024-01-01,66.71006648986912,pop,Predicted
2025-01-01,67.07870695911204,pop,Predicted
2026-01-01,67.25329739671376,pop,Predicted
2027-01-01,67.23353026956428,pop,Predicted
2028-01-01,65.35872997760717,pop,Predicted
2029-01-01,65.72737044685505,pop,Predicted
2030-01-01,65.90196088444691,pop,Predicted
2031-01-01,65.8821937573007,pop,Predicted
2032-01-01,64.0073934653518,pop,Predicted
2033-01-01,64.37603393458939,pop,Predicted
1965-01-01,76.0,rock,Actual
1966-01-01,78.5,rock,Actual
1967-01-01,72.0,rock,Actual
1968-01-01,72.0,rock,Actual
1969-01-01,73.5,rock,Actual
1970-01-01,84.0,rock,Actual
1971-01-01,69.5,rock,Actual
1972-01-01,76.33333333333333,rock,Actual
1973-01-01,74.0,rock,Actual
1974-01-01,78.0,rock,Actual
1975-01-01,72.5,rock,Actual
1976-01-01,74.5,rock,Actual
1977-01-01,78.0,rock,Actual
1978-01-01,71.33333333333333,rock,Actual
1979-01-01,74.6,rock,Actual
1980-01-01,74.5,rock,Actual
1981-01-01,74.2,rock,Actual
1982-01-01,75.75,rock,Actual
1983-01-01,70.0,rock,Actual
1984-01-01,74.4,rock,Actual
1985-01-01,78.0,rock,Actual
1986-01-01,72.75,rock,Actual
1987-01-01,74.33333333333333,rock,Actual
1988-01-01,72.0,rock,Actual
1989-01-01,72.33333333333333,rock,Actual
1990-01-01,74.0,rock,Actual
1991-01-01,69.22222222222223,rock,Actual
1992-01-01,72.5,rock,Actual
1993-01-01,73.8,rock,Actual
1994-01-01,73.57142857142857,rock,Actual
1997-01-01,68.83333333333333,rock,Actual
1998-01-01,73.5,rock,Actual
1999-01-01,69.66666666666667,rock,Actual
2000-01-01,52.0,rock,Actual
2001-01-01,70.5,rock,Actual
2002-01-01,67.92307692307692,rock,Actual
2003-01-01,68.4,rock,Actual
2004-01-01,65.16666666666667,rock,Actual
2005-01-01,47.333333333333336,rock,Actual
2006-01-01,76.5,rock,Actual
2007-01-01,76.5,rock,Actual
2008-01-01,65.5,rock,Actual
2009-01-01,68.625,rock,Actual
2010-01-01,61.5,rock,Actual
2011-01-01,62.0,rock,Actual
2012-01-01,52.125,rock,Actual
2013-01-01,79.0,rock,Actual
2014-01-01,63.0,rock,Actual
2015-01-01,80.0,rock,Actual
2016-01-01,73.0,rock,Actual
2017-01-01,66.0,rock,Actual
2018-01-01,77.0,rock,Actual
2019-01-01,69.5,rock,Actual
2020-01-01,68.66666666666667,rock,Actual
2021-01-01,45.333333333333336,rock,Actual
2022-01-01,56.5,rock,Actual
2023-01-01,55.0,rock,Actual
2024-01-01,50.479166666666664,rock,Actual
1965-01-01,77.84011356627161,rock,Predicted
1966-01-01,78.24286661133232,rock,Predicted
1967-01-01,77.35641719176881,rock,Predicted
1968-01-01,75.18161765258463,rock,Predicted
1969-01-01,76.8033808062109,rock,Predicted
1970-01-01,77.20613385096948,rock,Predicted
1971-01-01,76.31968443101896,rock,Predicted
1972-01-01,74.14488489169315,rock,Predicted
1973-01-01,75.76664804492718,rock,Predicted
1974-01-01,76.16940108935049,rock,Predicted
1975-01-01,75.28295166928795,rock,Predicted
1976-01-01,73.10815212985126,rock,Predicted
1977-01-01,74.72991528333037,rock,Predicted
1978-01-01,75.13266832799782,rock,Predicted
1979-01-01,74.24621890812915,rock,Predicted
1980-01-01,72.07141936858011,rock,Predicted
1981-01-01,73.69318252184306,rock,Predicted
1982-01-01,74.09593556632008,rock,Predicted
1983-01-01,73.20948614617396,rock,Predicted
1984-01-01,71.03468660679093,rock,Predicted
1985-01-01,72.65644976022675,rock,Predicted
1986-01-01,73.05920278248831,rock,Predicted
1987-01-01,72.17275334012946,rock,Predicted
1988-01-01,69.99795377817516,rock,Predicted
1989-01-01,71.6197169088327,rock,Predicted
1990-01-01,72.02246993074459,rock,Predicted
1991-01-01,71.13601979045592,rock,Predicted
1992-01-01,68.96121953079702,rock,Predicted
1993-01-01,70.58298190865078,rock,Predicted
1994-01-01,70.98573417981632,rock,Predicted
1997-01-01,69.54624605118326,rock,Predicted
1998-01-01,69.94899832227816,rock,Predicted
1999-01-01,69.06254812868185,rock,Predicted
2000-01-01,66.88774781540961,rock,Predicted
2001-01-01,68.50951019286623,rock,Predicted
2002-01-01,68.91226246342622,rock,Predicted
2003-01-01,68.02581226936458,rock,Predicted
2004-01-01,65.85101195613879,rock,Predicted
2005-01-01,67.47277433358748,rock,Predicted
2006-01-01,67.87552660447025,rock,Predicted
2007-01-01,66.98907641073463,rock,Predicted
2008-01-01,64.81427609731149,rock,Predicted
2009-01-01,66.43603847469463,rock,Predicted
2010-01-01,66.83879074537867,rock,Predicted
2011-01-01,65.95234055138988,rock,Predicted
2012-01-01,63.777540238024386,rock,Predicted
2013-01-01,65.39930261516183,rock,Predicted
2014-01-01,65.80205488558171,rock,Predicted
2015-01-01,64.91560469138946,rock,Predicted
2016-01-01,62.74080437781589,rock,Predicted
2017-01-01,64.36256675493934,rock,Predicted
2018-01-01,64.76531902537074,rock,Predicted
2019-01-01,63.878868831170095,rock,Predicted
2020-01-01,61.7040685176018,rock,Predicted
2021-01-01,63.325830894734196,rock,Predicted
2022-01-01,63.72858316516046,rock,Predicted
2023-01-01,62.84213297095765,rock,Predicted
2024-01-01,60.66733265741277,rock,Predicted
2024-01-01,57.20725610678613,rock,Predicted
2025-01-01,52.46719371613683,rock,Predicted
2026-01-01,46.454643661693126,rock,Predicted
2027-01-01,39.17929946471024,rock,Predicted
2028-01-01,56.17052024656988,rock,Predicted
2029-01-01,51.43045785587755,rock,Predicted
2030-01-01,45.417907801465816,rock,Predicted
2031-01-01,38.14256360436349,rock,Predicted
2032-01-01,55.13378438630579,rock,Predicted
2033-01-01,50.393721995710834,rock,Predicted
1990-01-01,68.0,hip-hop,Actual
1992-01-01,73.0,hip-hop,Actual
1993-01-01,69.0,hip-hop,Actual
1994-01-01,68.0,hip-hop,Actual
1995-01-01,69.0,hip-hop,Actual
1996-01-01,68.5,hip-hop,Actual
1997-01-01,74.66666666666667,hip-hop,Actual
1998-01-01,68.0,hip-hop,Actual
1999-01-01,68.42857142857143,hip-hop,Actual
2003-01-01,71.0,hip-hop,Actual
2007-01-01,77.33333333333333,hip-hop,Actual
2010-01-01,71.5,hip-hop,Actual
2012-01-01,72.5,hip-hop,Actual
2013-01-01,83.0,hip-hop,Actual
2014-01-01,73.0,hip-hop,Actual
2015-01-01,71.66666666666667,hip-hop,Actual
2016-01-01,71.57142857142857,hip-hop,Actual
2017-01-01,74.05882352941177,hip-hop,Actual
2018-01-01,68.63157894736842,hip-hop,Actual
2019-01-01,69.47368421052632,hip-hop,Actual
2020-01-01,60.62068965517241,hip-hop,Actual
2021-01-01,59.53333333333333,hip-hop,Actual
2022-01-01,64.76923076923077,hip-hop,Actual
2023-01-01,59.84615384615385,hip-hop,Actual
2024-01-01,54.77272727272727,hip-hop,Actual
1990-01-01,72.81788369999862,hip-hop,Predicted
1992-01-01,70.03412734513186,hip-hop,Predicted
1993-01-01,73.76245372430289,hip-hop,Predicted
1994-01-01,72.18211422939876,hip-hop,Predicted
1995-01-01,70.72693332600424,hip-hop,Predicted
1996-01-01,69.3983578754195,hip-hop,Predicted
1997-01-01,73.12668425501896,hip-hop,Predicted
1998-01-01,71.5463447584421,hip-hop,Predicted
1999-01-01,70.09116384997172,hip-hop,Predicted
2003-01-01,69.45539436048828,hip-hop,Predicted
2007-01-01,68.81807851875789,hip-hop,Predicted
2010-01-01,69.63373625953703,hip-hop,Predicted
2012-01-01,66.8436758261089,hip-hop,Predicted
2013-01-01,70.56642553423286,hip-hop,Predicted
2014-01-01,68.97814147954888,hip-hop,Predicted
2015-01-01,67.51327178871503,hip-hop,Predicted
2016-01-01,66.17410035495445,hip-hop,Predicted
2017-01-01,69.89143693246108,hip-hop,Predicted
2018-01-01,68.29862613193478,hip-hop,Predicted
2019-01-01,66.83082895994976,hip-hop,Predicted
2020-01-01,65.48963723920411,hip-hop,Predicted
2021-01-01,69.20531278509955,hip-hop,Predicted
2022-01-01,67.61235702101656,hip-hop,Predicted
2023-01-01,66.14455984723338,hip-hop,Predicted
2024-01-01,64.80336812650486,hip-hop,Predicted
2024-01-01,63.58998120558782,hip-hop,Predicted
2025-01-01,62.50534935912962,hip-hop,Predicted
2026-01-01,61.55017266647169,hip-hop,Predicted
2027-01-01,60.72490032316038,hip-hop,Predicted
